NAMESPACE                    NAME                                                              READY   STATUS      RESTARTS         AGE     IP             NODE                       NOMINATED NODE   READINESS GATES
aiot                         aiot-sensor-forecast-train-29675195-t5pjr                         0/1     Completed   0                54m     10.42.9.250    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-0                                           1/1     Running     0                6h37m   10.42.9.180    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-1                                           1/1     Running     0                6h37m   10.42.0.74     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-10                                          1/1     Running     0                6h38m   10.42.9.176    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-11                                          1/1     Running     0                6h39m   10.42.9.175    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-12                                          1/1     Running     0                6h39m   10.42.9.174    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-13                                          1/1     Running     0                6h39m   10.42.9.173    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-14                                          1/1     Running     0                6h39m   10.42.9.172    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-15                                          1/1     Running     0                6h39m   10.42.8.191    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-16                                          1/1     Running     0                6h39m   10.42.8.190    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-17                                          1/1     Running     0                6h39m   10.42.13.134   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-18                                          1/1     Running     0                6h40m   10.42.10.63    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-19                                          1/1     Running     0                6h40m   10.42.7.96     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-2                                           1/1     Running     0                6h37m   10.42.0.73     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-20                                          1/1     Running     0                6h40m   10.42.13.133   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-21                                          1/1     Running     0                6h40m   10.42.10.62    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-22                                          1/1     Running     0                6h40m   10.42.10.61    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-23                                          1/1     Running     0                6h40m   10.42.7.95     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-24                                          1/1     Running     0                6h40m   10.42.13.132   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-25                                          1/1     Running     0                6h40m   10.42.8.189    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-26                                          1/1     Running     0                6h41m   10.42.7.94     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-27                                          1/1     Running     0                6h41m   10.42.10.60    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-28                                          1/1     Running     0                6h41m   10.42.13.131   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-29                                          1/1     Running     0                6h41m   10.42.8.188    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-3                                           1/1     Running     0                6h37m   10.42.0.72     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-30                                          1/1     Running     0                6h41m   10.42.10.59    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-31                                          1/1     Running     0                6h41m   10.42.7.93     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-32                                          1/1     Running     0                6h41m   10.42.13.130   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-33                                          1/1     Running     0                6h42m   10.42.8.187    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-34                                          1/1     Running     0                6h42m   10.42.10.58    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-35                                          1/1     Running     0                6h42m   10.42.7.92     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-36                                          1/1     Running     0                6h42m   10.42.13.129   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-37                                          1/1     Running     0                6h42m   10.42.13.128   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-38                                          1/1     Running     0                6h42m   10.42.8.186    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-39                                          1/1     Running     0                6h43m   10.42.7.91     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-4                                           1/1     Running     0                6h38m   10.42.0.71     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-40                                          1/1     Running     0                6h43m   10.42.8.185    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-41                                          1/1     Running     0                6h43m   10.42.13.127   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-42                                          1/1     Running     0                6h43m   10.42.10.56    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-43                                          1/1     Running     0                6h43m   10.42.7.90     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-44                                          1/1     Running     0                6h44m   10.42.8.184    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-45                                          1/1     Running     0                6h44m   10.42.13.126   k3d-agent-3-0              <none>           <none>
aiot                         aiot-sensor-simulator-46                                          1/1     Running     0                6h44m   10.42.0.67     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-47                                          1/1     Running     0                6h44m   10.42.7.89     k3d-agent-0-0              <none>           <none>
aiot                         aiot-sensor-simulator-48                                          1/1     Running     0                6h45m   10.42.10.55    k3d-aiot-hetzner-agent-3   <none>           <none>
aiot                         aiot-sensor-simulator-49                                          1/1     Running     0                6h47m   10.42.0.62     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-5                                           1/1     Running     0                6h38m   10.42.0.70     cb50aad492c3               <none>           <none>
aiot                         aiot-sensor-simulator-6                                           1/1     Running     0                6h38m   10.42.8.192    k3d-agent-1-0              <none>           <none>
aiot                         aiot-sensor-simulator-7                                           1/1     Running     0                6h38m   10.42.9.179    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-8                                           1/1     Running     0                6h38m   10.42.9.178    k3d-agent-2-0              <none>           <none>
aiot                         aiot-sensor-simulator-9                                           1/1     Running     0                6h38m   10.42.9.177    k3d-agent-2-0              <none>           <none>
aiot                         cloudbeaver-756c8474cf-x9v7j                                      1/1     Running     0                6h47m   10.42.9.166    k3d-agent-2-0              <none>           <none>
aiot                         qdrant-indexer-74b5794766-qsvtd                                   1/1     Running     1 (5d2h ago)     5d2h    10.42.7.21     k3d-agent-0-0              <none>           <none>
auth                         dex-65d88d7b65-jr6dp                                              1/1     Running     2 (3d19h ago)    5d4h    10.42.0.239    cb50aad492c3               <none>           <none>
authentik                    authentik-postgresql-0                                            1/1     Running     0                24h     10.42.0.249    cb50aad492c3               <none>           <none>
authentik                    authentik-server-5ff9cfffdd-m96r6                                 1/1     Running     1 (12h ago)      24h     10.42.10.203   k3d-aiot-hetzner-agent-3   <none>           <none>
authentik                    authentik-worker-6d8669b57c-j5dz5                                 1/1     Running     5 (6h46m ago)    24h     10.42.10.204   k3d-aiot-hetzner-agent-3   <none>           <none>
awx                          awx-operator-controller-manager-78f6c4c9c7-zlsnx                  2/2     Running     0                6h46m   10.42.10.54    k3d-aiot-hetzner-agent-3   <none>           <none>
awx                          awx-task-656574f69-nt8tp                                          4/4     Running     2 (5d1h ago)     5d4h    10.42.7.20     k3d-agent-0-0              <none>           <none>
awx                          awx-web-ffdd64977-hjs58                                           3/3     Running     0                47h     10.42.8.102    k3d-agent-1-0              <none>           <none>
blackbox-exporter            blackbox-exporter-prometheus-blackbox-exporter-7f4687fcc-9lpvr    1/1     Running     0                5d5h    10.42.10.5     k3d-aiot-hetzner-agent-3   <none>           <none>
cert-manager                 cert-manager-6b8c6645f4-wxzdd                                     1/1     Running     0                4d15h   10.42.10.30    k3d-aiot-hetzner-agent-3   <none>           <none>
cert-manager                 cert-manager-cainjector-b79ff7c45-qxpmq                           1/1     Running     0                4d15h   10.42.8.42     k3d-agent-1-0              <none>           <none>
cert-manager                 cert-manager-webhook-9cb4954f8-wwspp                              1/1     Running     0                4d15h   10.42.8.43     k3d-agent-1-0              <none>           <none>
chaos-theater                aiot-chaos-theater-54cd5ff68b-9zrnp                               1/1     Running     0                5d6h    10.42.9.6      k3d-agent-2-0              <none>           <none>
chaos-theater                aiot-chaos-theater-authentik-bootstrap-mdwbv                      0/1     Completed   0                7m3s    10.42.10.80    k3d-aiot-hetzner-agent-3   <none>           <none>
cluster-copilot              cluster-copilot-d6889f4b9-w7sth                                   1/1     Running     0                5d4h    10.42.7.12     k3d-agent-0-0              <none>           <none>
cnpg-system                  cnpg-cloudnative-pg-5985849769-tvklf                              1/1     Running     1 (3d19h ago)    5d4h    10.42.0.236    cb50aad492c3               <none>           <none>
databases                    pg-cluster-1                                                      1/1     Running     0                5d2h    10.42.10.17    k3d-aiot-hetzner-agent-3   <none>           <none>
databases                    pg-cluster-pooler-rw-6cd9558dbc-n746q                             1/1     Running     1 (5d2h ago)     5d2h    10.42.13.8     k3d-agent-3-0              <none>           <none>
databases                    pgadmin-pgadmin4-677d4576cb-nq58s                                 1/1     Running     1 (3d19h ago)    5d4h    10.42.0.246    cb50aad492c3               <none>           <none>
default                      test-curl                                                         1/1     Running     0                5d1h    10.42.8.18     k3d-agent-1-0              <none>           <none>
event-exporter               event-exporter-kubernetes-event-exporter-6ff9bbd946-cjx8z         1/1     Running     0                5d4h    10.42.7.11     k3d-agent-0-0              <none>           <none>
flux-system                  helm-controller-657465bdc6-ts5gf                                  1/1     Running     0                5h58m   10.42.9.194    k3d-agent-2-0              <none>           <none>
flux-system                  kustomize-controller-74865f7f56-56r6c                             1/1     Running     0                5h58m   10.42.7.98     k3d-agent-0-0              <none>           <none>
flux-system                  notification-controller-79b5f796c5-zsj7q                          1/1     Running     0                5h58m   10.42.8.205    k3d-agent-1-0              <none>           <none>
flux-system                  source-controller-66c4c55db5-n4s98                                1/1     Running     0                5h58m   10.42.9.195    k3d-agent-2-0              <none>           <none>
flux-ui                      weave-gitops-6b5c5dbc45-q2hs8                                     1/1     Running     0                26h     10.42.10.200   k3d-aiot-hetzner-agent-3   <none>           <none>
gitea                        gitea-5f7b679588-q5kds                                            1/1     Running     0                5d1h    10.42.10.19    k3d-aiot-hetzner-agent-3   <none>           <none>
gitea                        gitea-redis-master-0                                              1/1     Running     0                5d4h    10.42.7.16     k3d-agent-0-0              <none>           <none>
grafana                      grafana-66f7767db6-b79rn                                          1/1     Running     0                3h4m    10.42.9.229    k3d-agent-2-0              <none>           <none>
headlamp                     headlamp-5955db57d4-r4s4j                                         1/1     Running     0                3d19h   10.42.10.128   k3d-aiot-hetzner-agent-3   <none>           <none>
