LAST SEEN   TYPE     REASON                       OBJECT                                                  MESSAGE
46m         Normal   ReconciliationSucceeded      kustomization/kubeflow-volumes-web-app                  Reconciliation finished in 797.23761ms, next run in 30m0s
46m         Normal   ChartPackageSucceeded        helmchart/terrakube-terrakube                           packaged 'terrakube-overlay' chart with version '1.0.0+53a118bf6f45'
46m         Normal   ChartPackageSucceeded        helmchart/aiot-ml-aiot-ml-platform                      packaged 'aiot-ml-platform' chart with version '1.0.0+53a118bf6f45'
46m         Normal   ReconciliationSucceeded      kustomization/kubeflow-ingress                          Reconciliation finished in 1.463611934s, next run in 30m0s
46m         Normal   ArtifactUpToDate             helmchart/aiot-ml-aiot-ml-platform                      artifact up-to-date with remote revision: '1.0.0+53a118bf6f45'
45m         Normal   ReconciliationSucceeded      kustomization/argo-workflows-controller                 Reconciliation finished in 1.486418509s, next run in 30m0s
45m         Normal   ReconciliationSucceeded      kustomization/kubeflow-tensorboard-controller           Reconciliation finished in 1.249910998s, next run in 30m0s
45m         Normal   ReconciliationSucceeded      kustomization/kubeflow-roles                            Reconciliation finished in 640.417798ms, next run in 30m0s
45m         Normal   ReconciliationSucceeded      kustomization/qdrant-indexer                            Reconciliation finished in 906.532514ms, next run in 30m0s
45m         Normal   ArtifactUpToDate             helmchart/victoriametrics-victoriametrics               artifact up-to-date with remote revision: '1.0.0+53a118bf6f45'
45m         Normal   ReconciliationSucceeded      kustomization/kubeflow-pipelines                        Reconciliation finished in 2.970238846s, next run in 30m0s
45m         Normal   Progressing                  kustomization/flux-system                               CustomResourceDefinition/authorizationpolicies.security.istio.io configured...
45m         Normal   ReconciliationSucceeded      kustomization/flux-system                               Reconciliation finished in 3.909799028s, next run in 10m0s
45m         Normal   ArtifactUpToDate             helmchart/blackbox-exporter-blackbox-exporter           artifact up-to-date with remote revision: '1.0.0+53a118bf6f45'
44m         Normal   ReconciliationSucceeded      kustomization/kubeflow-authz-crd                        Reconciliation finished in 1.107916605s, next run in 30m0s
44m         Normal   ReconciliationSucceeded      kustomization/kserve                                    Reconciliation finished in 8.159365048s, next run in 30m0s
44m         Normal   ReconciliationSucceeded      kustomization/kubeflow-admission-webhook                Reconciliation finished in 1.017081472s, next run in 30m0s
44m         Normal   ArtifactUpToDate             helmchart/chaos-theater-aiot-chaos-theater              artifact up-to-date with remote revision: '0.1.0+53a118bf6f45'
44m         Normal   ArtifactUpToDate             helmchart/jenkins-jenkins                               artifact up-to-date with remote revision: '1.0.0+53a118bf6f45'
43m         Normal   ReconciliationSucceeded      kustomization/kubeflow-centraldashboard                 Reconciliation finished in 625.379494ms, next run in 30m0s
42m         Normal   ReconciliationSucceeded      kustomization/kubeflow-profiles                         Reconciliation finished in 1.263229258s, next run in 30m0s
42m         Normal   ReconciliationSucceeded      kustomization/kubeflow-volumes-web-app                  Reconciliation finished in 612.518882ms, next run in 30m0s
42m         Normal   ReconciliationSucceeded      kustomization/kubeflow-katib                            Reconciliation finished in 973.464137ms, next run in 30m0s
42m         Normal   ReconciliationSucceeded      kustomization/kubeflow-jupyter-web-app                  Reconciliation finished in 858.974709ms, next run in 30m0s
