NAMESPACE                    NAME                                                        TYPE           CLUSTER-IP      EXTERNAL-IP                                    PORT(S)                                                                                                     AGE     SELECTOR
gitea                        gitea-redis-master                                          ClusterIP      10.43.150.30    <none>                                         6379/TCP                                                                                                    5d5h    app.kubernetes.io/component=master,app.kubernetes.io/instance=gitea,app.kubernetes.io/name=redis
gitea                        gitea-ssh                                                   ClusterIP      None            <none>                                         22/TCP                                                                                                      5d5h    app.kubernetes.io/instance=gitea,app.kubernetes.io/name=gitea
grafana                      grafana                                                     ClusterIP      10.43.209.212   <none>                                         80/TCP                                                                                                      5d5h    app.kubernetes.io/instance=grafana,app.kubernetes.io/name=grafana
headlamp                     headlamp                                                    ClusterIP      10.43.178.57    <none>                                         80/TCP                                                                                                      3d19h   app.kubernetes.io/instance=headlamp,app.kubernetes.io/name=headlamp
ingress-nginx                ingress-nginx-controller                                    NodePort       10.43.38.105    <none>                                         80:30080/TCP,443:30443/TCP                                                                                  5d2h    app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
ingress-nginx                ingress-nginx-controller-metrics                            ClusterIP      10.43.20.4      <none>                                         10254/TCP                                                                                                   5d5h    app.kubernetes.io/component=controller,app.kubernetes.io/instance=ingress-nginx,app.kubernetes.io/name=ingress-nginx
jenkins                      jenkins                                                     ClusterIP      10.43.195.145   <none>                                         8080/TCP                                                                                                    5d7h    app.kubernetes.io/component=jenkins-controller,app.kubernetes.io/instance=jenkins
jenkins                      jenkins-agent                                               ClusterIP      10.43.154.160   <none>                                         50000/TCP                                                                                                   5d7h    app.kubernetes.io/component=jenkins-controller,app.kubernetes.io/instance=jenkins
k8up-system                  k8up-metrics                                                ClusterIP      10.43.143.235   <none>                                         8080/TCP                                                                                                    5d5h    app.kubernetes.io/instance=k8up,app.kubernetes.io/name=k8up
kserve                       kserve-controller-manager-metrics-service                   ClusterIP      10.43.11.51     <none>                                         8443/TCP                                                                                                    5d6h    control-plane=kserve-controller-manager,controller-tools.k8s.io=1.0
kserve                       kserve-controller-manager-service                           ClusterIP      10.43.43.191    <none>                                         8443/TCP                                                                                                    5d6h    control-plane=kserve-controller-manager,controller-tools.k8s.io=1.0
kserve                       kserve-webhook-server-service                               ClusterIP      10.43.105.194   <none>                                         443/TCP                                                                                                     5d6h    control-plane=kserve-controller-manager
kube-system                  kube-dns                                                    ClusterIP      10.43.0.10      <none>                                         53/UDP,53/TCP,9153/TCP                                                                                      5d8h    k8s-app=kube-dns
kube-system                  metrics-server                                              ClusterIP      10.43.208.116   <none>                                         443/TCP                                                                                                     5d8h    k8s-app=metrics-server
kube-system                  sealed-secrets                                              ClusterIP      10.43.32.34     <none>                                         8080/TCP                                                                                                    5d7h    app.kubernetes.io/instance=sealed-secrets,app.kubernetes.io/name=sealed-secrets
kube-system                  sealed-secrets-metrics                                      ClusterIP      10.43.165.232   <none>                                         8081/TCP                                                                                                    5d7h    app.kubernetes.io/instance=sealed-secrets,app.kubernetes.io/name=sealed-secrets
kube-system                  victoriametrics-victoria-metrics-k8s-stack-core-dns         ClusterIP      None            <none>                                         9153/TCP                                                                                                    5d5h    k8s-app=kube-dns
kubeflow                     admission-webhook-service                                   ClusterIP      10.43.82.197    <none>                                         443/TCP                                                                                                     5d6h    app.kubernetes.io/component=poddefaults,app.kubernetes.io/name=poddefaults,app=poddefaults,kustomize.component=poddefaults
kubeflow                     cache-server                                                ClusterIP      10.43.66.78     <none>                                         443/TCP                                                                                                     5d7h    app=cache-server,application-crd-id=kubeflow-pipelines
kubeflow                     centraldashboard                                            ClusterIP      10.43.4.141     <none>                                         80/TCP                                                                                                      5d7h    app.kubernetes.io/component=centraldashboard,app.kubernetes.io/name=centraldashboard,app=centraldashboard,kustomize.component=centraldashboard
kubeflow                     jupyter-web-app-service                                     ClusterIP      10.43.209.122   <none>                                         80/TCP                                                                                                      5d7h    app=jupyter-web-app,kustomize.component=jupyter-web-app
kubeflow                     katib-controller                                            ClusterIP      10.43.79.20     <none>                                         443/TCP,8080/TCP,18080/TCP                                                                                  5d7h    katib.kubeflow.org/component=controller
kubeflow                     katib-db-manager                                            ClusterIP      10.43.144.170   <none>                                         6789/TCP                                                                                                    5d7h    katib.kubeflow.org/component=db-manager
kubeflow                     katib-mysql                                                 ClusterIP      10.43.233.213   <none>                                         3306/TCP                                                                                                    5d7h    katib.kubeflow.org/component=mysql
kubeflow                     katib-ui                                                    ClusterIP      10.43.98.55     <none>                                         80/TCP                                                                                                      5d7h    katib.kubeflow.org/component=ui
kubeflow                     metadata-envoy-service                                      ClusterIP      10.43.158.19    <none>                                         9090/TCP                                                                                                    5d7h    application-crd-id=kubeflow-pipelines,component=metadata-envoy
kubeflow                     metadata-grpc-service                                       ClusterIP      10.43.110.64    <none>                                         8080/TCP                                                                                                    5d7h    application-crd-id=kubeflow-pipelines,component=metadata-grpc-server
kubeflow                     minio-service                                               ClusterIP      10.43.149.21    <none>                                         9000/TCP                                                                                                    5d7h    app=seaweedfs,application-crd-id=kubeflow-pipelines
kubeflow                     ml-pipeline                                                 ClusterIP      10.43.250.181   <none>                                         8888/TCP,8887/TCP                                                                                           5d7h    app=ml-pipeline,application-crd-id=kubeflow-pipelines
kubeflow                     ml-pipeline-ui                                              ClusterIP      10.43.113.33    <none>                                         80/TCP                                                                                                      5d7h    app=ml-pipeline-ui,application-crd-id=kubeflow-pipelines
kubeflow                     ml-pipeline-visualizationserver                             ClusterIP      10.43.117.183   <none>                                         8888/TCP                                                                                                    5d7h    app=ml-pipeline-visualizationserver,application-crd-id=kubeflow-pipelines
kubeflow                     mysql                                                       ClusterIP      10.43.255.21    <none>                                         3306/TCP                                                                                                    5d7h    app=mysql,application-crd-id=kubeflow-pipelines
kubeflow                     profiles-kfam                                               ClusterIP      10.43.191.110   <none>                                         8081/TCP                                                                                                    5d7h    kustomize.component=profiles
kubeflow                     seaweedfs                                                   ClusterIP      10.43.132.71    <none>                                         8111/TCP,8333/TCP,9333/TCP,19333/TCP,18888/TCP,8888/TCP                                                     5d7h    app=seaweedfs,application-crd-id=kubeflow-pipelines
kubeflow                     tensorboard-controller-controller-manager-metrics-service   ClusterIP      10.43.254.96    <none>                                         8443/TCP                                                                                                    5d7h    app=tensorboard-controller,control-plane=controller-manager,kustomize.component=tensorboard-controller
kubeflow                     tensorboards-web-app-service                                ClusterIP      10.43.209.168   <none>                                         80/TCP                                                                                                      5d7h    app=tensorboards-web-app,kustomize.component=tensorboards-web-app
kubeflow                     training-operator                                           ClusterIP      10.43.91.166    <none>                                         8080/TCP,443/TCP                                                                                            5d7h    control-plane=kubeflow-training-operator
kubeflow                     volumes-web-app-service                                     ClusterIP      10.43.93.51     <none>                                         80/TCP                                                                                                      5d7h    app=volumes-web-app,kustomize.component=volumes-web-app
litmus                       chaos-litmus-auth-server-service                            ClusterIP      10.43.131.202   <none>                                         9003/TCP,3030/TCP                                                                                           5d5h    app.kubernetes.io/component=litmus-auth-server
litmus                       chaos-litmus-frontend-service                               ClusterIP      10.43.46.22     <none>                                         9091/TCP                                                                                                    5d5h    app.kubernetes.io/component=litmus-frontend
litmus                       chaos-litmus-server-service                                 ClusterIP      10.43.201.200   <none>                                         9002/TCP,8000/TCP                                                                                           5d5h    app.kubernetes.io/component=litmus-server
litmus                       chaos-mongodb-arbiter-headless                              ClusterIP      None            <none>                                         27017/TCP                                                                                                   5d5h    app.kubernetes.io/component=arbiter,app.kubernetes.io/instance=chaos,app.kubernetes.io/name=mongodb
litmus                       chaos-mongodb-headless                                      ClusterIP      None            <none>                                         27017/TCP                                                                                                   5d5h    app.kubernetes.io/component=mongodb,app.kubernetes.io/instance=chaos,app.kubernetes.io/name=mongodb
local-ai                     ollama                                                      ClusterIP      10.43.40.66     <none>                                         11434/TCP                                                                                                   5d7h    app.kubernetes.io/component=ollama
mlflow                       mlflow                                                      ClusterIP      10.43.127.141   <none>                                         5000/TCP                                                                                                    5d7h    app.kubernetes.io/component=mlflow
nfs-provisioner              nfs-provisioner-nfs-server-provisioner                      ClusterIP      10.43.77.48     <none>                                         2049/TCP,2049/UDP,32803/TCP,32803/UDP,20048/TCP,20048/UDP,875/TCP,875/UDP,111/TCP,111/UDP,662/TCP,662/UDP   5d7h    app=nfs-server-provisioner,release=nfs-provisioner
node-problem-detector        node-problem-detector                                       ClusterIP      None            <none>                                         20257/TCP                                                                                                   5d6h    app=node-problem-detector
notebook-controller-system   notebook-controller-service                                 ClusterIP      10.43.249.30    <none>                                         443/TCP                                                                                                     5d7h    app=notebook-controller,kustomize.component=notebook-controller
oauth2-proxy                 oauth2-proxy                                                ClusterIP      10.43.174.191   <none>                                         4180/TCP                                                                                                    5d2h    app=oauth2-proxy
observability-logs           alloy                                                       ClusterIP      10.43.43.149    <none>                                         12345/TCP                                                                                                   5d2h    app.kubernetes.io/instance=alloy,app.kubernetes.io/name=alloy
observability-logs           loki                                                        ClusterIP      10.43.246.237   <none>                                         3100/TCP,9095/TCP                                                                                           5d7h    app.kubernetes.io/component=single-binary,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability-logs           loki-canary                                                 ClusterIP      10.43.1.130     <none>                                         3500/TCP                                                                                                    5d7h    app.kubernetes.io/component=canary,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability-logs           loki-gateway                                                ClusterIP      10.43.68.62     <none>                                         80/TCP                                                                                                      5d7h    app.kubernetes.io/component=gateway,app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability-logs           loki-headless                                               ClusterIP      None            <none>                                         3100/TCP                                                                                                    5d7h    app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki
observability-logs           loki-memberlist                                             ClusterIP      None            <none>                                         7946/TCP                                                                                                    5d7h    app.kubernetes.io/instance=loki,app.kubernetes.io/name=loki,app.kubernetes.io/part-of=memberlist
pe-console                   pe-console                                                  ClusterIP      10.43.119.56    <none>                                         4443/TCP                                                                                                    5d7h    <none>
puppet                       puppet-puppetserver-puppet                                  ClusterIP      10.43.28.16     <none>                                         8140/TCP                                                                                                    5d7h    app.kubernetes.io/component=puppetserver,app.kubernetes.io/name=puppetserver
puppet                       puppet-puppetserver-puppetdb                                ClusterIP      10.43.29.2      <none>                                         8080/TCP,8081/TCP                                                                                           5d7h    app.kubernetes.io/component=puppetdb,app.kubernetes.io/name=puppetserver
qdrant                       authentik-outpost-proxy                                     ExternalName   <none>          authentik-server.authentik.svc.cluster.local   80/TCP                                                                                                      11h     <none>
qdrant                       qdrant                                                      ClusterIP      10.43.18.104    <none>                                         6333/TCP,6334/TCP,6335/TCP                                                                                  5d5h    app.kubernetes.io/instance=qdrant,app.kubernetes.io/name=qdrant,app=qdrant
qdrant                       qdrant-headless                                             ClusterIP      None            <none>                                         6333/TCP,6334/TCP,6335/TCP                                                                                  5d5h    app.kubernetes.io/instance=qdrant,app.kubernetes.io/name=qdrant,app=qdrant
terrakube                    terrakube-api-service                                       ClusterIP      10.43.160.54    <none>                                         8080/TCP                                                                                                    5d5h    app.kubernetes.io/component=terrakube-api,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=terrakube
terrakube                    terrakube-dex                                               ClusterIP      10.43.183.189   <none>                                         5556/TCP,5558/TCP                                                                                           5d5h    app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=dex
terrakube                    terrakube-executor-service                                  ClusterIP      10.43.114.17    <none>                                         8090/TCP                                                                                                    5d5h    app.kubernetes.io/component=terrakube-executor,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=terrakube
terrakube                    terrakube-minio                                             ClusterIP      10.43.131.76    <none>                                         9000/TCP                                                                                                    5d5h    app.kubernetes.io/component=minio,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=minio,app.kubernetes.io/part-of=minio
terrakube                    terrakube-openldap-service                                  ClusterIP      10.43.208.54    <none>                                         1389/TCP                                                                                                    5d5h    app.kubernetes.io/component=terrakube-openldap,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=terrakube
terrakube                    terrakube-redis-headless                                    ClusterIP      None            <none>                                         6379/TCP                                                                                                    5d5h    app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=redis
terrakube                    terrakube-redis-master                                      ClusterIP      10.43.231.244   <none>                                         6379/TCP                                                                                                    5d5h    app.kubernetes.io/component=master,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=redis
terrakube                    terrakube-registry-service                                  ClusterIP      10.43.162.75    <none>                                         8075/TCP                                                                                                    5d5h    app.kubernetes.io/component=terrakube-registry,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=terrakube
terrakube                    terrakube-ui-service                                        ClusterIP      10.43.130.121   <none>                                         8080/TCP                                                                                                    5d5h    app.kubernetes.io/component=terrakube-ui,app.kubernetes.io/instance=terrakube,app.kubernetes.io/name=terrakube
victoriametrics              victoriametrics-grafana                                     ClusterIP      10.43.31.107    <none>                                         80/TCP                                                                                                      5d5h    app.kubernetes.io/instance=victoriametrics,app.kubernetes.io/name=grafana
victoriametrics              victoriametrics-kube-state-metrics                          ClusterIP      10.43.103.226   <none>                                         8080/TCP                                                                                                    5d5h    app.kubernetes.io/instance=victoriametrics,app.kubernetes.io/name=kube-state-metrics
victoriametrics              victoriametrics-prometheus-node-exporter                    ClusterIP      10.43.62.161    <none>                                         9100/TCP                                                                                                    5d5h    app.kubernetes.io/instance=victoriametrics,app.kubernetes.io/name=prometheus-node-exporter
victoriametrics              victoriametrics-victoria-metrics-operator                   ClusterIP      10.43.58.234    <none>                                         8080/TCP,9443/TCP                                                                                           5d5h    app.kubernetes.io/instance=victoriametrics,app.kubernetes.io/name=victoria-metrics-operator
victoriametrics              vmagent-victoriametrics-victoria-metrics-k8s-stack          ClusterIP      10.43.212.17    <none>                                         8429/TCP                                                                                                    5d5h    app.kubernetes.io/component=monitoring,app.kubernetes.io/instance=victoriametrics-victoria-metrics-k8s-stack,app.kubernetes.io/name=vmagent,managed-by=vm-operator
victoriametrics              vmalert-victoriametrics-victoria-metrics-k8s-stack          ClusterIP      10.43.153.161   <none>                                         8080/TCP                                                                                                    5d5h    app.kubernetes.io/component=monitoring,app.kubernetes.io/instance=victoriametrics-victoria-metrics-k8s-stack,app.kubernetes.io/name=vmalert,managed-by=vm-operator
victoriametrics              vmsingle-victoriametrics-victoria-metrics-k8s-stack         ClusterIP      10.43.202.195   <none>                                         8429/TCP                                                                                                    5d5h    app.kubernetes.io/component=monitoring,app.kubernetes.io/instance=victoriametrics-victoria-metrics-k8s-stack,app.kubernetes.io/name=vmsingle,managed-by=vm-operator
zabbix                       zabbix-zabbix-server                                        ClusterIP      10.43.89.213    <none>                                         10051/TCP,10052/TCP                                                                                         5d5h    app.kubernetes.io/component=server,app.kubernetes.io/instance=zabbix,app.kubernetes.io/name=zabbix
zabbix                       zabbix-zabbix-web                                           ClusterIP      10.43.34.42     <none>                                         80/TCP                                                                                                      5d5h    app.kubernetes.io/component=web,app.kubernetes.io/instance=zabbix,app.kubernetes.io/name=zabbix
zabbix                       zabbix-zabbix-webservice                                    ClusterIP      10.43.194.139   <none>                                         10053/TCP                                                                                                   5d5h    app.kubernetes.io/component=webservice,app.kubernetes.io/instance=zabbix,app.kubernetes.io/name=zabbix
